gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000152583.13,991.469109180389,4.02180567598096,0.181702966866977,21.8996396361997,2.61843258345381e-106,5.02005894899764e-102
ENSG00000125148.7,3284.35981098877,2.06896490460039,0.125318489164568,16.5047022109791,3.39403186266153e-61,3.25351894354734e-57
ENSG00000148175.13,13110.8761079161,1.3969565770869,0.0863253676564486,16.1819848246975,6.75802732987088e-59,4.31882999894282e-55
ENSG00000134686.21,2792.32602185612,1.35561335383262,0.0874968448520385,15.4911387987312,3.98174557155806e-54,1.90845065244778e-50
ENSG00000179094.16,742.901852072956,2.76646469814381,0.183269178317874,15.049011253537,3.50432673300836e-51,1.34369904250473e-47
ENSG00000120129.6,3237.59075042787,2.61620555079214,0.17540458442816,14.9128758916729,2.71789465483426e-50,8.68457938708042e-47
ENSG00000189221.11,2317.18428017454,2.82957697502067,0.191802557116556,14.7509138391287,3.03526718948172e-49,8.31316322239195e-46
ENSG00000178695.6,2578.93294438243,-2.27148145694472,0.161057579493621,-14.0956332822455,4.04007287720492e-45,9.68203465022159e-42
ENSG00000196517.13,218.748446798289,-2.09262188180214,0.148754249987357,-13.9523453884234,3.04427142342826e-44,6.48497463666296e-41
ENSG00000101347.11,13147.9657894131,3.04424987824937,0.222787927854649,13.734887647719,6.27533415315052e-43,1.20310706384202e-39
ENSG00000096060.15,2519.78288951964,3.04347482292752,0.227949671944263,13.4182071763691,4.73018369155037e-41,8.24428015767306e-38
ENSG00000162614.19,5429.84892765088,1.88902378693589,0.142422245426857,13.262433572394,3.82285706725108e-40,6.10765130777814e-37
ENSG00000162616.9,1459.28536055904,1.44676979534603,0.116452860005662,12.419946729547,2.03697082832438e-35,3.0040619015873e-32
ENSG00000166741.9,7248.94815688044,1.95552477028841,0.160150973605743,12.2106621928014,2.72660897415969e-34,3.73389623232783e-31
ENSG00000183044.12,504.703563742238,1.12970744420959,0.0927700238232989,12.1705649560078,4.4598492643034e-34,5.70028200634831e-31
ENSG00000164125.16,5866.88994151163,1.08822192729207,0.0909700551023042,11.9620047130444,5.61888050906532e-33,6.73282356998752e-30
ENSG00000144369.14,1271.99792096038,-1.29708879754651,0.110013866053612,-11.7858723445695,4.61615783573452e-32,5.20593988392366e-29
ENSG00000198624.13,2017.63684868377,2.38874294171402,0.207552177530195,11.5194101880901,1.0532950892644e-30,1.12187630285428e-27
ENSG00000108821.14,94191.5783839901,-1.24977208094413,0.109084803595344,-11.4568800659163,2.17198620677828e-30,2.1916483977028e-27
ENSG00000116584.22,2126.51474753811,-0.979058615105432,0.0866102514285161,-11.302624748974,1.27353692469316e-29,1.22081249601087e-26
ENSG00000135821.19,19182.0560672256,2.42281446199626,0.216135552474339,11.2372939378672,2.67455396787883e-29,2.44174041296062e-26
ENSG00000162692.12,502.587283061297,-2.6566504111211,0.23984832574719,-11.0899614972479,1.40348159235255e-28,1.16989343863405e-25
ENSG00000276600.5,300.331151262923,-1.69206175592959,0.152091508111053,-11.0905976221824,1.3935364656272e-28,1.16989343863405e-25
ENSG00000256235.3,1089.73130884019,1.2185571555338,0.110456926451742,11.0286236605075,2.78088208411671e-28,2.2214613048619e-25
ENSG00000163884.4,534.742855574995,2.80935887238424,0.263345237899711,10.9983646488615,3.89124645822221e-28,2.98411908388145e-25
ENSG00000123562.18,4862.81009940833,0.99400353540377,0.0909663275580065,10.9267647967906,8.58549748602452e-28,6.33081376161777e-25
ENSG00000139132.16,1205.0107443283,1.9743142544829,0.181881657131792,10.8508450959685,1.97589907299094e-27,1.40303470471787e-24
ENSG00000109906.15,1139.04538908094,2.01936653744065,0.271974106550328,10.8380279874066,2.27318163885366e-27,1.55647994214652e-24
ENSG00000165995.24,548.469636533845,2.48421318841005,0.231145139296655,10.7610969417524,5.25409840638184e-27,3.47350257403975e-24
ENSG00000114098.18,989.005100230142,1.28486729568887,0.120070304545183,10.6974431134528,1.04625416178044e-26,6.68626159655154e-24
ENSG00000181467.5,605.217768963675,-1.22101135532216,0.114352652087157,-10.669450138128,1.41461014349697e-26,8.74867924874968e-24
ENSG00000077684.16,1600.41374338688,1.17400561777357,0.110109995088014,10.6605629234912,1.55652447834051e-26,9.32552728085756e-24
ENSG00000187193.9,92.5794114476047,2.39860937023864,0.220408082013684,10.6412140608227,1.91616148487136e-26,1.11323175721072e-23
ENSG00000116285.13,3153.36384443098,2.08114762224867,0.195776298718434,10.6347077830183,2.05471825531257e-26,1.14541969086421e-23
ENSG00000157150.5,175.026343450782,2.35714675895297,0.219665420584148,10.6330735291019,2.09105409869849e-26,1.14541969086421e-23
ENSG00000163697.18,2300.13130033144,1.03961620224457,0.0978022123537537,10.6289258695875,2.18615783499423e-26,1.16425050034748e-23
ENSG00000164647.9,1804.50019534302,1.45800992875675,0.13733632003231,10.6143562020758,2.55549964549223e-26,1.32416322171289e-23
ENSG00000119138.5,1648.5118172439,1.86597593819617,0.178138714008975,10.47287383256,1.15094809651335e-25,5.8068360279879e-23
ENSG00000145777.15,152.166037445766,-2.26815066253402,0.215025972725994,-10.4267386082781,1.87203812004415e-25,9.11527353819136e-23
ENSG00000185950.9,1961.97102698701,1.88947947525087,0.181230743747196,10.4252398597799,1.9017887624017e-25,9.11527353819136e-23
ENSG00000103196.12,2946.29997460725,2.2066771544218,0.212022429350975,10.421447264001,1.9791824845726e-25,9.25485038883556e-23
ENSG00000141401.12,559.343152841341,1.97929423883324,0.19095779598476,10.3522307751359,4.08846713480278e-25,1.86628790258188e-22
ENSG00000183160.9,2841.01090441445,-1.12802991614362,0.110500695702316,-10.2069703360978,1.84537010008884e-24,8.22777571137283e-22
ENSG00000139289.15,2304.50219332653,-1.02156862307848,0.100455119059201,-10.1679534541229,2.75639114201239e-24,1.20103479487867e-21
ENSG00000172986.13,726.485329137955,-1.45540520516039,0.143190380619728,-10.1572272791387,3.07702718668589e-24,1.31095033829204e-21
ENSG00000163491.18,195.900672683911,-2.00088756320887,0.195931092395083,-10.1524222783056,3.23239156559914e-24,1.34720458903623e-21
ENSG00000177666.17,2034.69831145521,1.03998459911317,0.104305138643225,9.96957131986612,2.07120848636948e-23,8.4487678937608e-21
ENSG00000211445.13,12102.3578403776,2.50527716356175,0.256157328461701,9.96734730274287,2.11810346548974e-23,8.46005825841029e-21
ENSG00000166482.12,26029.4886141011,-0.938358080809175,0.0945545943776237,-9.92390719141542,3.2767230847089e-23,1.28206806081712e-20
ENSG00000158246.8,65.6033311184852,1.96366336146951,0.197548373434264,9.73495146095247,2.13919799735715e-22,8.20254080106628e-20
ENSG00000131389.18,723.874361644256,-1.82300724678754,0.188999980054473,-9.6369791950524,5.58060362360562e-22,2.09786926807386e-19
ENSG00000133142.19,2953.53063345998,1.42047488912818,0.148279964487648,9.57886825931119,9.81141176647013e-22,3.61739204589933e-19
ENSG00000134253.10,134.343976791849,-1.73088578565301,0.180471373142174,-9.52415863640998,1.66384210746071e-21,6.0187133743843e-19
ENSG00000164484.12,797.597557931601,-1.14844633488403,0.12068506315914,-9.51163475728724,1.87689477787017e-21,6.66367160765314e-19
ENSG00000157514.18,2150.80588695551,2.34384326923535,0.249443964400874,9.49436683166976,2.21553682038663e-21,7.72295853099134e-19
ENSG00000157110.16,3207.89119514234,0.855253835106589,0.0903431360896683,9.46640406106831,2.89643265338247e-21,9.91614407690157e-19
ENSG00000146006.8,50.0975068069652,-2.64923372995677,0.255802114778683,-9.44570155260793,3.53031385397247e-21,1.18742416155018e-18
ENSG00000173838.12,47.4935927217609,2.58863836775253,0.255282392759829,9.42270827748433,4.39600138167898e-21,1.45310583602671e-18
ENSG00000250978.5,54.5994843464459,3.2844196497878,0.262222092580181,9.40076256742813,5.41690385592084e-21,1.76021831738499e-18
ENSG00000161647.19,156.604680991747,1.4298286654357,0.152026246452599,9.37273750564217,7.06752284014882e-21,2.25830913152222e-18
ENSG00000113456.20,1017.18057556854,0.8593647481285,0.091748187197095,9.36530620975547,7.58300888964829e-21,2.38330240053012e-18
ENSG00000103502.14,3010.19812191658,0.793879091044464,0.0858259339026154,9.24955337478229,2.2543265458925e-20,6.97095944158888e-18
ENSG00000163110.15,1293.56673042487,1.45304484609408,0.157156134842713,9.24371803009207,2.38077412443229e-20,7.24511135136759e-18
ENSG00000132356.12,2353.22297922665,0.845669165144537,0.0915646799559496,9.23534205330213,2.57462072526163e-20,7.71259821011187e-18
ENSG00000197043.15,13535.7868808574,0.88917214654438,0.0965141446691028,9.21278320181841,3.17776388851099e-20,9.37293681085117e-18
ENSG00000110756.18,988.677340764131,1.45164851759688,0.157591849321006,9.2080063541944,3.32238033805439e-20,9.65101149108771e-18
ENSG00000154734.16,29217.8521494691,1.90167548392663,0.207662999806874,9.16726022089902,4.85193491774537e-20,1.38837755586589e-17
ENSG00000124766.7,1211.76157239206,-1.93189452648021,0.211816026336855,-9.12158151497193,7.40359174274945e-20,2.08737736605871e-17
ENSG00000106976.22,1007.31836464847,-1.5598260351732,0.171646651766818,-9.08280142355378,1.05815557086454e-19,2.94013892820508e-17
ENSG00000169738.8,608.413389568583,1.80672100480192,0.199036494395568,9.07241148551268,1.16411538411164e-19,3.18834573488406e-17
ENSG00000196975.16,4850.37620273777,1.1255343714715,0.124417488362679,9.04613435617713,1.48119176514898e-19,3.99963500301918e-17
ENSG00000157214.14,2947.972646473,1.71283528029831,0.189969795312214,9.01840303811891,1.90851021906148e-19,5.0819385999787e-17
ENSG00000157613.11,2667.32269599403,-0.954155144312298,0.106087627937565,-8.99324970961405,2.40026101890432e-19,6.30380880197721e-17
ENSG00000112837.17,2686.83663079127,-1.58375838128078,0.176645545671632,-8.96464483738361,3.11282405446137e-19,8.06473821245045e-17
